Genus	370(-)_SD_t2A	370(-)_SD_t2B	370(-)_SD_t7C	370(-)_t2A	370(-)_W_t0A	370(-)_W_t0B	370(-)_W_t2A	370(-)_W_t2B	370(-)_W_t7C	432(-)_t2B	432(-)_W_t0A	432(-)_W_t0B	432(-)_SD_t2A	432(-)_SD_t2B	432(-)_SD_t2C	432(-)_SD_t7C	432(-)_SD_t7D	432(-)_t2C	432(-)_W_t2A	432(-)_W_t2B	432(-)_W_t7C	432(-)_W_t7D
[Prevotella]	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacterium	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	6	23	0	0	0	0	0	31	7	0	125	0	0	0	0	0	0	0	0	0	0	0
Acidovorax	636	1111	583	49	0	0	401	759	316	0	0	0	439	309	98	0	0	0	220	471	56	0
Acinetobacter	141	15	139	1582	51	27	36	87	99	67919	313	34	3759	771	505	6	9	27306	1420	4508	369	175
Actinobacillus	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	12	0	0	5	20	0	0	0	0	0	9	0	0	6	0	0	0	0	0	0	0	0
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Aggregatibacter	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
Agrobacterium	1817	311	516	231	6	96	2676	946	1501	0	61	60	314	74	250	1180	1307	91	165	216	757	636
Agromyces	0	0	0	174	0	0	0	0	0	110	0	0	0	0	0	0	0	67	0	0	0	0
Alloiococcus	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0
Amaricoccus	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeromyxobacter	0	0	0	12	0	0	0	0	0	0	0	0	0	0	13	0	31	11	0	0	0	0
Ancylobacter	0	5	0	0	0	0	0	4	7	7	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Asticcacaulis	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	35	86	0	8	0	414	57
Atopobium	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
Azospirillum	61	76	301	8	0	0	55	51	150	13	0	0	118	59	258	229	243	89	0	155	404	232
Bacillus	350	221	25	33	210	199	208	35	11	20	1333	1095	25	162	62	10	24	0	43	126	16	26
Bdellovibrio	0	0	7	119	0	0	18	0	241	0	0	0	0	0	0	62	85	8	19	2	166	72
Bifidobacterium	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Bosea	1414	554	710	365	0	0	860	509	836	46	0	0	437	638	209	382	284	166	521	432	458	758
Bradyrhizobium	0	0	0	376	0	0	71	0	0	0	31	23	0	0	0	0	0	0	0	0	0	0
Brevibacterium	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Brevundimonas	10868	3500	497	1463	0	0	3657	547	1220	16	0	0	273	968	543	2550	531	48	1314	72	233	69
Burkholderia	0	8	0	0	79	16	0	0	0	0	34	0	52	38	43	59	60	41	47	55	75	86
C39	21	0	30	748	0	0	0	0	14	2422	0	0	9	0	0	0	0	1500	13	20	104	40
Caedibacter	0	0	4117	0	0	0	0	0	0	0	0	0	0	0	0	1471	548	0	0	0	0	0
