Genus	10_S1	10_S3	10_S4	10_S5	10_S6	10_S7	10_S8	10_S9	F_ERG	F_EY	F_JUG	F_PFN	F_WH	S_S1	S_S12	S_S14	S_S15	S_S18	S_S2	S_S3	S_S8	S_S9
[Prevotella]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	10	0	0	0	0	0
A17	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Acetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
Achromobacter	0	5	0	0	0	0	0	0	300	207	379	0	588	0	0	0	0	0	0	0	0	0
Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	235	0	68	0	0	0	0	0	0	4
Actinoallomurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Actinobacillus	0	0	0	21	0	20	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Actinomadura	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	39
Actinomyces	0	0	4	154	0	18	0	76	0	0	0	22	325	9	16	33	27	4	0	0	0	115
Actinomycetospora	0	0	0	0	0	0	0	11	0	105	453	0	0	13	157	0	44	0	0	517	81	283
Actinoplanes	0	0	0	0	0	0	0	0	16	1992	1022	0	404	0	6053	27	500	0	0	63	146	0
Actinotalea	82	431	175	136	153	588	399	355	0	0	0	0	0	0	58	0	0	284	0	50	0	0
Adhaeribacter	0	16	0	21	0	11	21	57	27	44	213	0	92	17	168	0	32	42	0	347	0	229
Aequorivita	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Aeromicrobium	162	1426	0	274	67	87	0	250	0	312	633	0	5717	257	409	0	272	322	0	230	266	0
Afifella	122	544	32	222	83	64	609	437	32	0	231	0	0	0	268	0	6	129	0	17	452	0
Afipia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Agrobacterium	147	455	59	522	37	1113	517	268	2515	3245	1214	20	7965	110	2157	12	8152	2587	0	265	2920	0
Agromyces	0	0	0	0	0	0	0	0	0	75	127	0	0	12	0	0	12	103	0	0	0	48
Alicyclobacillus	0	208	5	109	113	9	87	278	0	0	38	63	0	0	21	0	0	871	0	0	0	234
Alkaliphilus	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloiococcus	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	41	0	0	16	0	61
Amaricoccus	0	0	0	0	0	0	0	39	69	342	1040	31	116	28	409	0	48	93	0	177	80	782
Ammoniphilus	0	51	0	112	38	16	0	43	15	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus	0	0	0	28	9	0	0	0	0	0	9	0	0	0	0	0	25	0	0	41	0	0
Anaeromyxobacter	0	0	0	0	0	0	0	44	0	0	21	0	0	0	0	0	0	197	0	0	0	0
Anaerospora	0	0	0	19	0	23	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Anaerovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0
Aquabacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
Aquicella	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ardenscatena	0	0	0	0	0	0	0	0	22	170	203	0	0	162	647	0	28	0	0	13	0	0
Arenimonas	0	0	0	0	0	0	0	0	0	0	129	34	0	0	0	0	0	0	0	0	43	0
Asticcacaulis	0	0	0	0	0	0	0	0	0	0	52	0	0	0	23	0	0	0	0	0	0	0
Atopobium	0	10	0	54	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
Azohydromonas	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	0	0	0	0	0	0	0
B-42	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
Bacillus	109	1663	191	5933	1006	304	512	1688	633	502	164	660	80	35	245	0	39	8305	0	6	20	347
Bacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	8	0	0	0	0
Balneimonas	0	16	0	40	0	0	0	131	0	606	843	0	374	67	549	0	21	266	0	0	17	312
Bdellovibrio	0	33	0	85	9	32	0	0	65	418	822	37	481	130	784	0	1565	1862	0	117	318	12
Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
Blastomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0
Bosea	0	41	0	0	15	42	35	33	0	0	0	0	84	18	0	0	364	61	0	22	0	0
Bradyrhizobium	36	87	0	377	30	7	70	1254	81	513	804	99	896	17	2496	25	746	2358	0	315	352	411
Brevibacillus	0	16	0	7	39	11	0	44	0	0	0	0	0	0	0	0	0	86	0	0	0	0
Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
Buchnera	0	0	0	94	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0
Burkholderia	0	15	10	339	29	39	8	340	105	81	223	18	417	0	92	39	40	293	0	111	81	35
Caldicoprobacter	0	0	0	17	0	0	0	0	0	0	0	81	0	0	0	0	0	41	0	0	0	0
Caloramator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0
Campylobacter	0	0	0	0	0	0	0	0	0	0	0	0	1264	0	0	0	0	0	0	0	0	0
Candidatus Methylomirabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Candidatus Protochlamydia	0	0	0	0	4	0	0	3	66	0	45	50	85	0	51	0	8	68	0	16	0	27
Candidatus Rhabdochlamydia	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
Candidatus Solibacter	0	6	21	0	0	15	9	5	0	0	0	16	0	0	0	0	0	651	0	0	0	22
Candidatus Xiphinematobacter	0	0	0	0	0	0	0	0	0	36	0	0	0	9	0	0	0	0	0	0	0	0
Capnocytophaga	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
Carnobacterium	0	0	0	0	0	0	0	0	0	0	0	0	614	0	0	0	0	0	0	0	0	0
Catellatospora	0	0	0	0	16	0	0	0	0	0	0	64	0	0	0	0	9	0	0	0	0	8
Caulobacter	0	0	0	0	0	0	0	111	0	0	58	0	0	0	0	3	0	48	0	16	0	0
Cellulomonas	0	39	7	50	0	0	36	62	28	119	254	0	401	90	133	0	6	137	0	0	0	228
