sample-id,absolute-filepath,direction
A.BacV5.10,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627386.3.fa,forward
A.BacV5.18,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627394.3.fa,forward
A.BacV5.19,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627395.3.fa,forward
A.BacV5.6,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627399.3.fa,forward
A.BacV5.9,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627400.3.fa,forward
B.BacV5.1,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627481.3.fa,forward
B.BacV5.10,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627482.3.fa,forward
B.BacV5.18,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627488.3.fa,forward
B.BacV5.19,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627489.3.fa,forward
B.BacV5.20,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627490.3.fa,forward
B.BacV5.9,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627496.3.fa,forward
C.BacV5.10,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627584.3.fa,forward
C.BacV5.19,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627593.3.fa,forward
C.BacV5.20,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627595.3.fa,forward
D.BacV5.17,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627687.3.fa,forward
D.BacV5.19,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627688.3.fa,forward
D.BacV5.20,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627690.3.fa,forward
D.BacV5.7,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627694.3.fa,forward
D.BacV5.9,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627695.3.fa,forward
E.BacV5.1,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627789.3.fa,forward
E.BacV5.11,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627791.3.fa,forward
E.BacV5.12,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627792.3.fa,forward
E.BacV5.13,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627793.3.fa,forward
E.BacV5.14,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627794.3.fa,forward
E.BacV5.15,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627795.3.fa,forward
E.BacV5.2,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627798.3.fa,forward
E.BacV5.3.fa,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627800.3.fa,forward
E.BacV5.4,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627801.3.fa,forward
E.BacV5.5,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627802.3.fa,forward
F.BacV5.7,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627910.3.fa,forward
F.BacV5.8,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627911.3.fa,forward
G.BacV5.1,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627997.3.fa,forward
G.BacV5.11,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627998.3.fa,forward
G.BacV5.12,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4627999.3.fa,forward
G.BacV5.13,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4628000.3.fa,forward
G.BacV5.14,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4628001.3.fa,forward
G.BacV5.16,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4628002.3.fa,forward
G.BacV5.18,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4628003.3.fa,forward
G.BacV5.19,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4628004.3.fa,forward
G.BacV5.20,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4628005.3.fa,forward
G.BacV5.3.fa,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4628006.3.fa,forward
G.BacV5.5,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4628007.3.fa,forward
G.BacV5.6,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4628008.3.fa,forward
G.BacV5.9,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4628009.3.fa,forward
H.BacV5.7,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4628077.3.fa,forward
H.BacV5.8,/home/microbiome/data/iTAGExperiments/agler_et_al_2016/libraries/mgm4628078.3.fa,forward
