Genus	CH_DT_A	CH_DT_B	CH_DT_C	CH_RS_B	CH_W_A	CH_W_B	CH_W_C	CH_W_D	PP_CT_D	PP_DT_B	PP_W_A	PP_W_B	PP_W_C	PP_W_D
[Prevotella]	0	0	0	6	26	0	0	0	0	0	10	52	38	48
5-7N15	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Acetobacter	0	0	0	0	0	0	0	0	0	0	8	27	16	18
Acetobacterium	0	0	0	46	0	0	5	0	0	0	0	5	0	0
Acidaminobacter	0	0	0	245	0	0	0	0	0	0	0	0	0	0
Acinetobacter	92	110	15	20462	1410	454	814	273	128	127	5	59	0	27
Aeromicrobium	0	0	0	10	0	0	0	0	0	0	0	0	17	0
Agrobacterium	290	327	390	3670	166	65	113	53	171	368	163	474	364	373
Allochromatium	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Anaeromusa	0	0	0	49	0	0	0	0	0	0	0	0	0	0
Anaeromyxobacter	0	0	0	6	0	0	0	0	0	0	0	124	28	131
Anaeroplasma	0	0	0	0	0	0	0	0	0	0	37	87	39	70
Anaerovorax	0	0	0	38	0	0	0	0	0	0	0	6	0	0
Aphanizomenon	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Aquicella	0	0	0	0	0	16	0	0	0	0	31	87	64	49
Aquitalea	0	0	0	0	0	0	0	0	64	152	97	185	77	204
Arcobacter	0	0	0	0	0	0	0	0	0	29	450	1301	800	904
Asticcacaulis	6	5	0	195	36	14	17	0	10	32	10	35	73	46
Azohydromonas	34	39	0	338	0	0	0	0	0	0	0	0	0	0
Azospirillum	0	0	0	0	16	17	29	0	9	21	40	152	83	121
Bacillus	0	0	141	10	45	23	60	58	55	178	0	0	0	0
Bacteriovorax	0	0	0	0	0	0	0	2	0	0	18	43	34	57
Bacteroides	0	0	0	56	20	20	58	14	0	0	220	517	365	364
BD2-13	0	0	0	0	0	0	0	0	0	0	0	14	11	9
Bdellovibrio	0	0	0	586	68	40	33	20	0	0	93	516	437	210
Blastomonas	37	29	23	1086	149	164	117	128	0	0	0	0	0	0
Blautia	0	0	0	0	0	0	0	0	0	0	0	86	82	44
Blvii28	0	0	0	105	0	0	0	0	0	0	10	30	31	24
Borrelia	0	0	0	0	0	104	0	0	0	0	0	27	23	0
Bosea	0	0	0	0	0	0	0	0	0	0	27	78	58	55
Bradyrhizobium	0	0	0	0	0	0	0	0	0	0	64	382	344	237
Bulleidia	0	0	0	0	0	0	0	0	0	0	0	9	0	7
Burkholderia	0	0	0	0	0	0	0	0	0	6	0	0	0	0
C39	0	0	0	0	50	23	23	59	0	0	0	0	0	0
Caldilinea	0	0	0	0	0	0	0	0	0	0	0	0	0	18
Caloramator	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Candidatus Aquiluna	0	0	0	0	340	517	530	394	0	10	0	0	0	0
Candidatus Hepatoplasma	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Candidatus Koribacter	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Candidatus Phlomobacter	0	0	0	0	0	0	0	0	0	0	0	9	0	14
Candidatus Protochlamydia	0	0	0	0	0	0	0	0	0	0	11	0	0	0
Candidatus Rhabdochlamydia	0	0	0	0	0	0	0	0	0	0	65	42	51	76
Candidatus Rhodoluna	0	0	0	0	282	187	342	257	0	0	424	1046	915	879
Candidatus Xiphinematobacter	0	0	0	0	0	5	3	0	0	0	0	13	0	18
Caulobacter	57	51	0	670	0	0	14	0	83	139	46	59	66	84
Cellulomonas	0	0	0	106	0	0	14	0	0	0	0	0	0	0
Cellvibrio	103	96	0	2000	36	36	88	5	0	0	81	339	322	285
Cetobacterium	0	0	0	40	67	61	83	78	0	0	241	507	442	548
CF231	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Chromobacterium	0	0	0	9	0	0	0	0	13	32	0	0	0	11
Chryseobacterium	0	0	0	76	76	0	107	0	0	0	0	39	26	21
Cloacibacterium	0	0	0	437	0	0	0	0	10	18	0	69	17	45
Clostridium	0	7	16	374	71	202	70	131	63	191	209	638	355	609
Comamonas	0	0	0	0	0	32	0	30	0	0	0	0	0	0
Congregibacter	0	0	0	0	0	0	0	0	0	0	25	93	84	63
Coprococcus	0	0	0	257	9	25	31	39	0	4	18	37	44	41
Corynebacterium	9	0	15	16	0	0	0	0	0	0	0	0	0	0
Crenothrix	5	0	0	25	135	166	118	180	27	23	1009	1829	1858	2015
Crocinitomix	0	0	0	0	0	0	0	0	0	0	0	9	0	0
Cupriavidus	0	0	0	0	24	26	42	0	0	0	7	0	0	0
Cytophaga	0	0	0	0	0	0	0	0	0	0	19	24	140	74
Dactylosporangium	0	0	0	0	0	0	0	0	0	0	0	11	0	0
Dechloromonas	0	0	0	99	89	188	203	131	246	544	457	1215	812	1146
Deefgea	0	0	0	0	0	0	0	0	0	0	0	52	37	31
Dehalobacterium	0	0	0	0	0	0	0	0	0	0	17	0	10	0
Demequina	0	0	0	70	0	0	0	0	0	0	0	0	0	0
Desulfobacca	0	0	0	0	0	0	0	0	0	0	0	22	37	0
Desulfobulbus	0	0	0	0	0	0	0	0	0	0	0	54	85	63
Desulfococcus	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Desulfomonile	0	0	0	0	20	26	0	0	0	0	15	36	35	119
Desulfotomaculum	0	0	0	0	0	0	0	0	0	0	0	15	0	16
Desulfovibrio	0	0	0	23	0	0	0	0	0	0	35	134	113	55
Devosia	8	0	0	33	23	23	29	22	0	20	14	103	95	145
Dorea	0	0	0	0	0	0	0	0	0	0	0	12	0	12
Dysgonomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Ehrlichia	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Elizabethkingia	0	0	0	0	0	62	19	20	0	0	0	0	0	0
Emticicia	0	0	0	922	21	11	33	6	16	28	0	11	0	8
Enterococcus	0	0	0	0	0	0	0	0	0	0	0	37	0	37
Epulopiscium	0	0	0	20	24	63	36	40	0	0	35	47	128	66
Erwinia	0	0	0	80	0	0	0	0	0	0	50	183	86	135
Exiguobacterium	0	0	0	35	0	163	279	87	0	0	19	79	38	46
Faecalibacterium	0	0	0	0	0	0	0	0	0	0	50	29	37	88
Fibrobacter	0	0	0	0	5	22	19	17	0	0	5	24	17	17
Finegoldia	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Flavobacterium	70	60	11	7666	1325	1235	1153	1307	8	55	779	1581	1582	1013
Flectobacillus	14	0	0	753	17	0	32	0	68	198	33	84	91	89
Fluviicola	15	52	0	7171	5118	6834	4694	6952	0	0	1399	2692	2503	1540
Fusibacter	0	12	0	628	0	0	0	0	35	44	0	13	0	0
Fusobacterium	10	0	0	1071	0	10	13	0	10	20	14	14	16	14
Gallionella	0	0	0	0	0	0	0	0	0	0	9	0	14	0
Gemmata	0	0	0	0	0	0	0	0	0	0	0	0	15	0
Gemmatimonas	0	0	0	54	0	0	0	0	0	0	0	0	0	0
Geobacter	0	8	0	103	19	55	23	13	0	0	42	227	210	302
Geothrix	0	0	0	0	0	0	0	0	0	0	27	122	131	131
Glaciecola	0	0	0	230	0	9	15	9	0	0	0	0	0	0
GW-34	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Halomonas	0	0	0	0	0	0	0	0	0	0	0	11	0	9
HB2-32-21	0	0	0	0	0	0	0	0	0	0	0	0	21	0
Herbaspirillum	0	0	0	0	0	0	0	0	32	22	0	18	0	0
HTCC	0	0	0	0	62	53	14	47	0	0	0	0	0	0
Hydrogenophaga	198	466	0	23541	668	312	849	287	196	259	114	606	476	518
Hymenobacter	0	0	0	0	0	0	0	0	5	19	0	0	0	0
Hyphomicrobium	0	0	0	185	0	26	30	0	0	0	0	72	68	67
Janthinobacterium	0	0	0	0	0	0	0	0	212	100	28	175	61	56
Kaistobacter	0	0	0	0	0	0	0	0	0	0	0	15	9	6
Kineosporia	0	0	0	0	0	0	0	0	0	0	0	71	0	26
Lactobacillus	0	0	0	0	0	0	0	0	0	0	83	291	273	236
LCP-6	0	0	0	0	0	0	0	0	0	0	0	11	0	0
Leadbetterella	216	179	6	13491	566	297	494	198	0	10	264	586	606	422
Legionella	0	0	0	0	17	16	18	25	0	0	103	355	286	283
Leptolyngbya	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Leptospira	0	0	0	0	567	626	711	460	0	0	6	14	14	7
Leptothrix	70	25	0	95	0	0	0	0	0	0	57	79	54	70
Leucobacter	0	0	0	0	16	42	18	42	0	0	0	0	0	0
Lewinella	0	0	0	0	0	0	0	0	9	13	0	0	0	0
Limnobacter	0	0	0	282	1995	472	1624	266	0	0	130	359	372	242
