sample_id	location	type	species
CH_RS_B	Caldwell_House	rinse_solution	none
CH_DT_A	Caldwell_House	rinsed_tissue	duckweed
CH_DT_B	Caldwell_House	rinsed_tissue	duckweed
CH_W_A	Caldwell_House	ambient_water	none
CH_W_B	Caldwell_House	ambient_water	none
CH_W_C	Caldwell_House	ambient_water	none
CH_W_D	Caldwell_House	ambient_water	none
CH_DT_C	Caldwell_House	rinsed_tissue	none
JP_RS_Spiro_B	Johnson_Park	rinse_solution	S_polyrhiza
JP_RS_Spiro_C	Johnson_Park	rinse_solution	S_polyrhiza
JP_RT_Spiro_B	Johnson_Park	rinsed_tissue	S_polyrhiza
JP_RT_Spiro_C	Johnson_Park	rinsed_tissue	S_polyrhiza
JP_RT_Lemna_D	Johnson_Park	rinsed_tissue	L_minor/japonica
JP_RT_Lemna_E	Johnson_Park	rinsed_tissue	L_minor/japonica
JP_RF_Lemna_B	Johnson_Park	rinsed_tissue	L_minor/japonica
JP_W_A	Johnson_Park	ambient_water	none
JP_W_B	Johnson_Park	ambient_water	none
JP_W_C	Johnson_Park	ambient_water	none
JP_W_D	Johnson_Park	ambient_water	none
JP_A_D8	Johnson_Park	rinsed_tissue	duckweed
JP_B_D8	Johnson_Park	rinsed_tissue	duckweed
JP_C_D8	Johnson_Park	rinsed_tissue	duckweed
JP_E_D8	Johnson_Park	rinsed_tissue	duckweed
PP_DT_B	Passion_Puddle	rinsed_tissue	L_minor/japonica
PP_CT_D	Passion_Puddle	rinsed_tissue	L_minor/japonica
PP_W_A	Passion_Puddle	ambient_water	none
PP_W_B	Passion_Puddle	ambient_water	none
PP_W_C	Passion_Puddle	ambient_water	none
PP_W_D	Passion_Puddle	ambient_water	none
