sample_id	sample_type	type	type_id	host_species	treatment	location	paired_type
AS1	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	SD_treated	s1.china.guizhou_province.leishan_county	plant
AS2	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	SD_treated	s1.china.guizhou_province.leishan_county	plant
AS3	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	SD_treated	s1.china.guizhou_province.leishan_county	plant
AS4	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	SD_treated	s2.china.guizhou_province.congjiang_county	plant
AS5	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	SD_treated	s2.china.guizhou_province.congjiang_county	plant
AS6	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	SD_treated	s2.china.guizhou_province.congjiang_county	plant
AS7	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	SD_treated	s3.china.guizhou_province.liping_county	plant
AS8	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	SD_treated	s3.china.guizhou_province.liping_county	plant
AS9	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	SD_treated	s3.china.guizhou_province.liping_county	plant
AW1	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	water_treated	s1.china.guizhou_province.leishan_county	plant
AW2	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	water_treated	s1.china.guizhou_province.leishan_county	plant
AW3	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	water_treated	s1.china.guizhou_province.leishan_county	plant
AW4	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	water_treated	s2.china.guizhou_province.congjiang_county	plant
AW5	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	water_treated	s2.china.guizhou_province.congjiang_county	plant
AW6	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	water_treated	s2.china.guizhou_province.congjiang_county	plant
AW7	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	water_treated	s3.china.guizhou_province.liping_county	plant
AW8	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	water_treated	s3.china.guizhou_province.liping_county	plant
AW9	rice_aerial_tissue	treated_tissue	RA	Oryza_sativa	water_treated	s3.china.guizhou_province.liping_county	plant
RS1	rice_root	treated_tissue	RR	Oryza_sativa	SD_treated	s1.china.guizhou_province.leishan_county	plant
RS2	rice_root	treated_tissue	RR	Oryza_sativa	SD_treated	s1.china.guizhou_province.leishan_county	plant
RS3	rice_root	treated_tissue	RR	Oryza_sativa	SD_treated	s1.china.guizhou_province.leishan_county	plant
RS4	rice_root	treated_tissue	RR	Oryza_sativa	SD_treated	s2.china.guizhou_province.congjiang_county	plant
RS5	rice_root	treated_tissue	RR	Oryza_sativa	SD_treated	s2.china.guizhou_province.congjiang_county	plant
RS6	rice_root	treated_tissue	RR	Oryza_sativa	SD_treated	s2.china.guizhou_province.congjiang_county	plant
RS7	rice_root	treated_tissue	RR	Oryza_sativa	SD_treated	s3.china.guizhou_province.liping_county	plant
RS8	rice_root	treated_tissue	RR	Oryza_sativa	SD_treated	s3.china.guizhou_province.liping_county	plant
