"(Intercept) Estimate"	"(Intercept) Std. Error"	"(Intercept) t value"	"(Intercept) Pr(>|t|)"	"model.TISSUEleaf_like Estimate"	"model.TISSUEleaf_like Std. Error"	"model.TISSUEleaf_like t value"	"model.TISSUEleaf_like Pr(>|t|)"	"model.HOSTduckweed Estimate"	"model.HOSTduckweed Std. Error"	"model.HOSTduckweed t value"	"model.HOSTduckweed Pr(>|t|)"	"model.HOSTrice Estimate"	"model.HOSTrice Std. Error"	"model.HOSTrice t value"	"model.HOSTrice Pr(>|t|)"	"(Intercept) Pr(>|t|).BH"	"model.TISSUEleaf_like Pr(>|t|).BH"	"model.HOSTduckweed Pr(>|t|).BH"	"model.HOSTrice Pr(>|t|).BH"
"1-68"	-1.3009207625135	0.431714169038827	-3.0001209822915	0.0371408761750407	0.514350632969736	0.585302874795462	0.871429522137309	0.418305899895698	-0.0595001659182206	0.701129585189433	-0.0851524757482389	0.522860281380771	-0.367747731291699	0.480114496042668	-0.775659647686878	0.424112540859728	0.606779213834127	1	1	0.992207866598777
"4-29"	0.244671444988222	0.538170803089595	0.464857791000599	0.546067683370391	-2.85089190159061	0.729633032153257	-3.91863417618617	0.00106680886502399	1.92961817041625	0.874021514678007	2.21140670928402	0.0743407605354965	3.60928250752157	0.598506193311902	6.045933463274	4.69677925737332e-07	1	0.245770202706098	0.920898695608537	0.000220482196893248
"A17"	-0.635529901792816	0.492480322346424	-1.28770563549096	0.295268394944501	-0.778081088027035	0.667687486587065	-1.16425118746727	0.328189410742418	0.560504255148178	0.799817446088159	0.702751953501896	0.436377520601272	1.49039582746299	0.547693262652722	2.73808955857398	0.0374489234961741	0.986928503551968	0.984036950846172	1	0.754358154071587
"Abiotrophia"	-1.24428914949785	0.425650098227486	-2.92060120270779	0.040806134863128	0.475874171908171	0.577081421034185	0.823878745349606	0.402680273690918	-0.055494672659341	0.691281172148044	-0.0753819275295357	0.510775806727885	-0.411815989327618	0.473370570291896	-0.871856653673492	0.38093042310678	0.677125933759853	1	0.999523265761966	0.99468516506332
"Acetobacter"	-1.31431228407115	0.431968595547139	-3.03211465861737	0.0276995725460771	0.488241956277996	0.585647817300062	0.839185006550377	0.376981109527081	0.0564251728428854	0.701542789028981	0.0722723274894319	0.501689170525824	-0.287361023846445	0.480397446808658	-0.607319243002594	0.371963690366873	0.637252341473378	0.996316216495595	1	1
"Acetobacterium"	-1.15119850532066	0.43854318251215	-2.61049536887471	0.0493506944241123	0.509964767835098	0.594561410893205	0.858956658513622	0.417277941426793	-0.1182546214788	0.712220310783324	-0.173761632734767	0.512066729832772	-0.474835397501593	0.48770912368603	-0.986530662071755	0.375806586271703	0.803592269568782	1	1	0.989304244625959
"Acholeplasma"	-1.22686635321429	0.429197988562091	-2.85562885067341	0.0256474203064669	0.544211555266585	0.581891525870277	0.93948861481727	0.364529554274637	-0.214897159182629	0.697043157871462	-0.310218981883015	0.506417795453798	-0.461669850103025	0.477316221609772	-0.966159289807585	0.327109129294576	0.728920181302348	0.990483833604022	1	0.995683189752209
"Achromobacter"	1.34907445544266	0.543784832037158	2.49694127293325	0.0376388194980942	-0.25738332185881	0.737244334996314	-0.35502090147232	0.567650675895981	-0.6806353603557	0.883139032863731	-0.769381396908106	0.469814057299357	-1.73761765682622	0.604749622117885	-2.87755130468313	0.0181126894983762	0.863416307889201	1	1	0.733219001697387
"Acidaminobacter"	-1.30730280079593	0.434175464181793	-3.0178690853328	0.0272873242210839	0.456709298987223	0.58863981211699	0.782267374497957	0.372202726727415	0.191931056593185	0.705126875448539	0.28498447467775	0.490806996980356	-0.331884326699589	0.482851731838771	-0.681174015244497	0.430996230293026	0.631659151076359	1	0.992730217369837	0.989498655980168
"Acidisoma"	-2.10524088784977	0.472715545247204	-4.45324238547156	0.000345136102545191	3.21861104266406	0.640891097481698	5.04784534202551	4.03522919261845e-05	-1.99431517457547	0.767718268060737	-2.62021843326709	0.0620310665966588	0.727996016063329	0.525712617408868	1.38746996579813	0.25910076058896	0.0921968378966153	0.0192677416294076	0.761863491732215	0.985162176613125
