sample_id	paired_type	location	study	host	tissue
10_S1	plant	colgne_garden	agler_et_al	arabidopsis	leaf_like
10_S3	plant	colgne_garden	agler_et_al	arabidopsis	leaf_like
10_S4	plant	colgne_garden	agler_et_al	arabidopsis	leaf_like
10_S5	plant	colgne_garden	agler_et_al	arabidopsis	leaf_like
10_S6	plant	colgne_garden	agler_et_al	arabidopsis	leaf_like
10_S7	plant	colgne_garden	agler_et_al	arabidopsis	leaf_like
10_S8	plant	colgne_garden	agler_et_al	arabidopsis	leaf_like
10_S9	plant	colgne_garden	agler_et_al	arabidopsis	leaf_like
F_ERG	plant	ERG	agler_et_al	arabidopsis	leaf_like
F_EY	plant	EY	agler_et_al	arabidopsis	leaf_like
F_JUG	plant	JUG	agler_et_al	arabidopsis	leaf_like
F_PFN	plant	PFN	agler_et_al	arabidopsis	leaf_like
F_WH	plant	WH	agler_et_al	arabidopsis	leaf_like
S_S1	plant	WH	agler_et_al	arabidopsis	leaf_like
S_S12	plant	EY	agler_et_al	arabidopsis	leaf_like
S_S14	plant	EY	agler_et_al	arabidopsis	leaf_like
S_S15	plant	EY	agler_et_al	arabidopsis	leaf_like
S_S18	plant	PFN	agler_et_al	arabidopsis	leaf_like
S_S2	plant	WH	agler_et_al	arabidopsis	leaf_like
S_S3	plant	ERG	agler_et_al	arabidopsis	leaf_like
S_S8	plant	JUG	agler_et_al	arabidopsis	leaf_like
S_S9	plant	JUG	agler_et_al	arabidopsis	leaf_like
1.1_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.10_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.12_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.13_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.15_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.16_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.18_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.19_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.21_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.22_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.24_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.3_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.4_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.6_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.7_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
1.9_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.1_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.10_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.12_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.13_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.15_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.16_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.18_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.19_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.21_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.22_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.24_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.3_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.4_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.6_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.7_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
2.9_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.1_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.10_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.12_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.13_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.15_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.16_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.18_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.19_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.21_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.22_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.24_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.3_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.4_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.6_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.7_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
3.9_plant	plant	jk_experimental_station	robbins_et_al	arabidopsis	root
9-1-plant	plant	Arbuckle	edwards_et_al	rice	root
9-10-plant	plant	Sacramento	edwards_et_al	rice	root
9-11-plant	plant	Sacramento	edwards_et_al	rice	root
9-12-plant	plant	Sacramento	edwards_et_al	rice	root
9-2-plant	plant	Arbuckle	edwards_et_al	rice	root
9-3-plant	plant	Arbuckle	edwards_et_al	rice	root
9-4-plant	plant	Arbuckle	edwards_et_al	rice	root
9-5-plant	plant	Davis	edwards_et_al	rice	root
9-7-plant	plant	Davis	edwards_et_al	rice	root
9-8-plant	plant	Davis	edwards_et_al	rice	root
9-9-plant	plant	Sacramento	edwards_et_al	rice	root
B-1-plant	plant	Arbuckle	edwards_et_al	rice	root
B-10-plant	plant	Sacramento	edwards_et_al	rice	root
B-11-plant	plant	Sacramento	edwards_et_al	rice	root
B-12-plant	plant	Sacramento	edwards_et_al	rice	root
