	pielou_e
10_S1	0.3335967698777989
10_S3	0.5457135237042225
10_S4	0.315202848000069
10_S5	0.4918067929864178
10_S6	0.267886152487288
10_S7	0.35034902190642553
10_S8	0.4499730542120826
10_S9	0.551595797623568
F_ERG	0.5704624879568709
F_EY	0.7176395068384901
F_JUG	0.7229607384092295
F_PFN	0.770254619330746
F_WH	0.6185451119182539
S_S1	0.6756058900787147
S_S12	0.7095798954835265
S_S14	0.5314460088586243
S_S15	0.6430601365689609
S_S18	0.6080048229299075
S_S2	0.6256885399228242
S_S3	0.48599813337630016
S_S8	0.5659166819315863
S_S9	0.8563472407573636
9-1-plant	0.6064573256513643
9-10-plant	0.7454508039182821
9-11-plant	0.7887400943616081
9-12-plant	0.8291757487533288
9-2-plant	0.6891390365556044
9-3-plant	0.6856712764334528
9-4-plant	0.7395928666939942
9-5-plant	0.7819254014855576
9-6-plant	0.6860713571223552
9-7-plant	0.7651529095853709
9-8-plant	0.7216746549191709
9-9-plant	0.8418243601990543
B-1-plant	0.7534870278847446
B-10-plant	0.6563824521476916
B-11-plant	0.8212408403739608
B-12-plant	0.8173410294298019
B-2-plant	0.6466739455465059
B-3-plant	0.7280247006111297
B-4-plant	0.7091354929050057
B-5-plant	0.7792893671064184
B-6-plant	0.7222588056191922
B-7-plant	0.7746290246188936
B-8-plant	0.815094124678338
B-9-plant	0.8441992112963906
BB P1-6.1-plant	0.7086051826945767
BB P1-6.2-plant	0.7957722660054088
BB P1-6.3-plant	0.8192315264626892
BB P1-6.4-plant	0.7250514216447832
BB P1-6.5-plant	0.7476506275995837
BB P1-6.6-plant	0.739332472451207
BB P1-6.7-plant	0.7291792736044368
BB P1-6.8-plant	0.7410434733862484
BB P4-7.1-plant	0.7970045073956682
BB P4-7.2-plant	0.7754048433812111
BB P4-7.3-plant	0.7286892254406696
BB P4-7.4-plant	0.7291629403409193
BB P4-7.5-plant	0.7571663630657027
BB P4-7.6-plant	0.7499441421719271
BB P4-7.7-plant	0.7942435889884073
BB P4-7.8-plant	0.8052947958643746
BB_-7.1-plant	0.8619162107385979
Ditaler 18-1.1-plant	0.8243992061083595
Ditaler 18-1.2-plant	0.7368494435910038
Ditaler 18-1.3-plant	0.7727886022751204
Ditaler 18-1.4-plant	0.7810605046278213
Ditaler 18-1.5-plant	0.6303972258381242
Ditaler 18-1.6-plant	0.782477774805612
Ditaler 18-1.7-plant	0.8237811686349216
Ditaler 18-1.8-plant	0.7669897207605915
Ditaler 19-2.1-plant	0.8174701980389353
Ditaler 19-2.2-plant	0.8024858123558628
Ditaler 19-2.3-plant	0.812373048356322
Ditaler 19-2.4-plant	0.8478456823244339
Ditaler 19-2.5-plant	0.8037641012626383
Ditaler 19-2.6-plant	0.8462738965624723
Ditaler 19-2.7-plant	0.8160358196749062
Ditaler 19-2.8-plant	0.8259435653970265
DS RR-5.1-plant	0.7494910455057665
DS RR-5.2-plant	0.7673033339171027
DS RR-5.3-plant	0.7159966336331319
DS RR-5.4-plant	0.7551957488384884
DS RR-5.5-plant	0.7218560621783444
DS RR-5.6-plant	0.7105637907099657
DS RR-5.7-plant	0.6899003301100448
DS RR-5.8-plant	0.761577231386414
E-1-plant	0.7186409810831351
E-10-plant	0.7542710578729052
E-11-plant	0.7635178594280785
E-12-plant	0.8223894168021386
E-2-plant	0.6409876061546569
E-3-plant	0.6942578137595582
E-4-plant	0.7321560490317142
E-5-plant	0.8283957312900874
E-6-plant	0.5702662335979847
E-7-plant	0.7698105058735525
E-8-plant	0.7118079497443117
E-9-plant	0.749446270030131
I-1-plant	0.6862440372026674
I-10-plant	0.6189944719488834
I-11-plant	0.6662695651067678
I-12-plant	0.8243999205209408
I-2-plant	0.7301486238777082
I-3-plant	0.6766565655535058
I-4-plant	0.643926600223103
I-5-plant	0.7795194044121742
I-6-plant	0.7123299913540904
I-7-plant	0.7548980439932262
I-8-plant	0.7861071882775408
I-9-plant	0.8030668252808216
M-1-plant	0.6955825407775426
M-10-plant	0.8062570226335828
M-11-plant	0.7920765379205013
M-12-plant	0.7464214365646172
M-2-plant	0.6856117620355986
M-3-plant	0.7563933209485643
M-4-plant	0.5477104758871701
M-5-plant	0.7587836905507095
M-6-plant	0.756733835018958
M-7-plant	0.7772241565817314
M-8-plant	0.7587680715503163
M-9-plant	0.8191107533379669
N-1-plant	0.7893017294906917
N-10-plant	0.7455539573609812
N-11-plant	0.8003725037747321
N-12-plant	0.8000341917259134
N-2-plant	0.6934124328300826
N-3-plant	0.6815265218744936
N-4-plant	0.6943992520182953
N-5-plant	0.7403074717130961
N-6-plant	0.6623187805836777
N-7-plant	0.7716729044613173
N-8-plant	0.8008296291406181
N-9-plant	0.7991133338086222
Scheidec-8.1-plant	0.7081538996630763
Scheidec-8.2-plant	0.7285267467504758
Scheidec-8.3-plant	0.7870268387607074
Scheidec-8.4-plant	0.7865500820936809
Scheidec-8.5-plant	0.7470482568626207
Scheidec-8.6-plant	0.53986358821583
Scheidec-8.7-plant	0.791549064288855
Scheidec-8.8-plant	0.8755858898654952
SFT 20 A-4.1-plant	0.8124667441808285
SFT 20 A-4.2-plant	0.7228514595213774
SFT 20 A-4.3-plant	0.7170266939070653
SFT 20 A-4.4-plant	0.8065196691148996
SFT 20 A-4.5-plant	0.7214039270149587
SFT 20 A-4.6-plant	0.7456575476935184
SFT 20 A-4.7-plant	0.802429249633008
SFT 20 A-4.8-plant	0.7408125138865999
Spooner Airstrip-3.1-plant	0.7839675574651145
Spooner Airstrip-3.2-plant	0.7134885613208158
Spooner Airstrip-3.3-plant	0.8259244557730326
Spooner Airstrip-3.4-plant	0.6870737225994505
Spooner Airstrip-3.5-plant	0.522490241471222
Spooner Airstrip-3.6-plant	0.5520568793891518
Spooner Airstrip-3.7-plant	0.6222035791961383
Spooner Airstrip-3.8-plant	0.4680260999512188
1.1_plant	0.7472199142730865
1.10_plant	0.7726297960454576
1.12_plant	0.7949528465878939
1.13_plant	0.4724328675347062
1.15_plant	0.7661327816190399
1.16_plant	0.6795712836894698
1.18_plant	0.8545981940357398
1.19_plant	0.8084113824535675
1.21_plant	0.8318073364279905
1.22_plant	0.8371061674642909
1.24_plant	0.7604561097017978
1.3_plant	0.8295314657170257
1.4_plant	0.8285019605459651
1.6_plant	0.7054815441941694
1.7_plant	0.7897245742025718
1.9_plant	0.5182625959209197
2.1_plant	0.68283504541899
2.10_plant	0.8201501124957626
2.12_plant	0.7290497402848974
2.13_plant	0.8090055153899831
2.15_plant	0.7858859788257964
2.16_plant	0.7531519333118767
2.18_plant	0.47189512926292293
2.19_plant	0.816255837496256
2.21_plant	0.7680429439273594
2.22_plant	0.8192891217292918
2.24_plant	0.7824817538179891
2.3_plant	0.859381946409593
2.4_plant	0.8659144254682215
2.6_plant	0.7975926046648537
2.7_plant	0.822311155999711
2.9_plant	0.8183750233182131
3.1_plant	0.6991698662838276
3.10_plant	0.47940424427639716
3.12_plant	0.7496113878632954
3.13_plant	0.5135026991694953
3.15_plant	0.8465746333355568
3.16_plant	0.8285452141087908
3.18_plant	0.7881255351929621
3.19_plant	0.8093364146029723
3.21_plant	0.8280409668673324
3.22_plant	0.8042172092439818
3.24_plant	0.8934913451003103
3.3_plant	0.777643464425105
3.4_plant	0.7504351785447851
3.6_plant	0.7941502721907695
