	observed_otus
10_S1	27
10_S3	45
10_S4	16
10_S5	46
10_S6	25
10_S7	25
10_S8	28
10_S9	48
F_ERG	48
F_EY	67
F_JUG	87
F_PFN	59
F_WH	44
S_S1	63
S_S12	78
S_S14	23
S_S15	43
S_S18	60
S_S2	10
S_S3	47
S_S8	52
S_S9	78
9-1-plant	82
9-10-plant	100
9-11-plant	78
9-12-plant	80
9-2-plant	73
9-3-plant	73
9-4-plant	75
9-5-plant	82
9-6-plant	70
9-7-plant	96
9-8-plant	79
9-9-plant	103
B-1-plant	93
B-10-plant	105
B-11-plant	92
B-12-plant	85
B-2-plant	89
B-3-plant	83
B-4-plant	77
B-5-plant	89
B-6-plant	27
B-7-plant	70
B-8-plant	73
B-9-plant	116
BB P1-6.1-plant	71
BB P1-6.2-plant	98
BB P1-6.3-plant	84
BB P1-6.4-plant	87
BB P1-6.5-plant	98
BB P1-6.6-plant	90
BB P1-6.7-plant	83
BB P1-6.8-plant	86
BB P4-7.1-plant	101
BB P4-7.2-plant	111
BB P4-7.3-plant	89
BB P4-7.4-plant	93
BB P4-7.5-plant	100
BB P4-7.6-plant	104
BB P4-7.7-plant	125
BB P4-7.8-plant	112
BB_-7.1-plant	96
Ditaler 18-1.1-plant	70
Ditaler 18-1.2-plant	74
Ditaler 18-1.3-plant	67
Ditaler 18-1.4-plant	69
Ditaler 18-1.5-plant	46
Ditaler 18-1.6-plant	81
Ditaler 18-1.7-plant	67
Ditaler 18-1.8-plant	71
Ditaler 19-2.1-plant	94
Ditaler 19-2.2-plant	106
Ditaler 19-2.3-plant	98
Ditaler 19-2.4-plant	102
Ditaler 19-2.5-plant	100
Ditaler 19-2.6-plant	96
Ditaler 19-2.7-plant	96
Ditaler 19-2.8-plant	104
DS RR-5.1-plant	87
DS RR-5.2-plant	79
DS RR-5.3-plant	89
DS RR-5.4-plant	90
DS RR-5.5-plant	85
DS RR-5.6-plant	91
DS RR-5.7-plant	61
DS RR-5.8-plant	79
E-1-plant	92
E-10-plant	73
E-11-plant	90
E-12-plant	97
E-2-plant	86
E-3-plant	67
E-4-plant	85
E-5-plant	84
E-6-plant	35
E-7-plant	68
E-8-plant	84
E-9-plant	94
I-1-plant	90
I-10-plant	82
I-11-plant	66
I-12-plant	92
I-2-plant	81
I-3-plant	33
I-4-plant	68
I-5-plant	94
I-6-plant	77
I-7-plant	79
I-8-plant	80
I-9-plant	86
M-1-plant	92
M-10-plant	102
M-11-plant	98
M-12-plant	87
M-2-plant	65
M-3-plant	90
M-4-plant	54
M-5-plant	77
M-6-plant	74
M-7-plant	69
M-8-plant	69
M-9-plant	96
N-1-plant	107
N-10-plant	88
N-11-plant	87
N-12-plant	86
N-2-plant	71
N-3-plant	70
N-4-plant	67
N-5-plant	92
N-6-plant	59
N-7-plant	84
N-8-plant	75
N-9-plant	84
Scheidec-8.1-plant	114
Scheidec-8.2-plant	109
Scheidec-8.3-plant	124
Scheidec-8.4-plant	108
Scheidec-8.5-plant	112
Scheidec-8.6-plant	59
Scheidec-8.7-plant	100
Scheidec-8.8-plant	123
SFT 20 A-4.1-plant	103
SFT 20 A-4.2-plant	93
SFT 20 A-4.3-plant	108
SFT 20 A-4.4-plant	110
SFT 20 A-4.5-plant	97
SFT 20 A-4.6-plant	101
SFT 20 A-4.7-plant	108
SFT 20 A-4.8-plant	104
Spooner Airstrip-3.1-plant	95
Spooner Airstrip-3.2-plant	83
Spooner Airstrip-3.3-plant	104
Spooner Airstrip-3.4-plant	79
Spooner Airstrip-3.5-plant	61
Spooner Airstrip-3.6-plant	52
Spooner Airstrip-3.7-plant	71
Spooner Airstrip-3.8-plant	51
1.1_plant	59
1.10_plant	48
1.12_plant	59
1.13_plant	67
1.15_plant	81
1.16_plant	80
1.18_plant	68
1.19_plant	62
1.21_plant	72
1.22_plant	74
1.24_plant	72
1.3_plant	50
1.4_plant	60
1.6_plant	44
1.7_plant	48
1.9_plant	35
2.1_plant	54
2.10_plant	60
2.12_plant	61
2.13_plant	79
2.15_plant	73
2.16_plant	74
2.18_plant	58
2.19_plant	65
2.21_plant	66
2.22_plant	70
2.24_plant	66
2.3_plant	54
2.4_plant	59
2.6_plant	51
2.7_plant	51
2.9_plant	63
3.1_plant	35
3.10_plant	37
3.12_plant	44
3.13_plant	37
3.15_plant	42
3.16_plant	44
3.18_plant	41
3.19_plant	53
3.21_plant	43
3.22_plant	46
3.24_plant	47
3.3_plant	57
3.4_plant	52
3.6_plant	46
3.7_plant	46
3.9_plant	48
AS1	27
AS2	15
AS3	29
AS4	16
AS5	19
