	shannon
10_S1	1.5862151118540488
10_S3	2.9969785048640123
10_S4	1.260811392000276
10_S5	2.7165252914701843
10_S6	1.244024767383028
10_S7	1.6269704739616748
10_S8	2.1631801769597483
10_S9	3.0806418452830036
F_ERG	3.1860116033072186
F_EY	4.353265255078411
F_JUG	4.657995187287739
F_PFN	4.5311329826448645
F_WH	3.3769047415600615
S_S1	4.038285522965793
S_S12	4.4599950495322
S_S14	2.404028947371211
S_S15	3.48941455421807
S_S18	3.5914179706492932
S_S2	2.078492339418683
S_S3	2.699519813588138
S_S8	3.225973930841434
S_S9	5.382486847172896
9-1-plant	3.8555839864101538
9-10-plant	4.952667937785024
9-11-plant	4.957548739206071
9-12-plant	5.241989461642934
9-2-plant	4.2656497329547935
9-3-plant	4.244184906186396
9-4-plant	4.606789871420979
9-5-plant	4.971131403676306
9-6-plant	4.205125517622437
9-7-plant	5.038503216937352
9-8-plant	4.549278796126824
9-9-plant	5.6288590282666515
B-1-plant	4.927171337448132
B-10-plant	4.407112937207336
B-11-plant	5.357415503023861
B-12-plant	5.238658185760831
B-2-plant	4.187688088110452
B-3-plant	4.6411861733904916
B-4-plant	4.444000762466135
B-5-plant	5.04647020696768
B-6-plant	3.434259368166211
B-7-plant	4.74792052502923
B-8-plant	5.045289630732787
B-9-plant	5.789502147172333
BB P1-6.1-plant	4.357742681142062
BB P1-6.2-plant	5.2638026416198445
BB P1-6.3-plant	5.236787959897087
BB P1-6.4-plant	4.67146534124213
BB P1-6.5-plant	4.945491966341881
BB P1-6.6-plant	4.799637800499442
BB P1-6.7-plant	4.648546621749193
BB P1-6.8-plant	4.762141554724071
BB P4-7.1-plant	5.3066245629467765
BB P4-7.2-plant	5.2684229707140195
BB P4-7.3-plant	4.718797177971155
BB P4-7.4-plant	4.768112266063763
BB P4-7.5-plant	5.030504427943286
BB P4-7.6-plant	5.02495551659603
BB P4-7.7-plant	5.532529510369062
BB P4-7.8-plant	5.481927492334724
BB_-7.1-plant	5.675685926477341
Ditaler 18-1.1-plant	5.052976053182881
Ditaler 18-1.2-plant	4.575432257467979
Ditaler 18-1.3-plant	4.687804586770078
Ditaler 18-1.4-plant	4.771127194742545
Ditaler 18-1.5-plant	3.4820381338433437
Ditaler 18-1.6-plant	4.960791722858514
Ditaler 18-1.7-plant	4.997130042358969
