feature_id	Taxon	Confidence
549dd19a2a35f765872fb44aa53e4fef	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__Desulfosporosinus; s__meridiei	0.9
0f0ccef5b3383a0401eef3cfadf7f047	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__	0.8
0270fef6e89307a9782265b4f9a42a2c	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__	1.0
d76d45422eb9d763992538fa368c6d40	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__	1.0
3dd69c245bd1dd9366d98a36dc338607	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__; s__	0.9
72194ac5e9576750b6f492358eae9179	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Photorhabdus; s__	0.9
027543fa159567a65e83634b4928e2a0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__	1.0
9b1b88541f5cf5fb51ff9f117091b9a6	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__211ds20; g__; s__	1.0
1d6f943db2e03435a07492d95ac9fe70	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	1.0
01d9175ea6394f1f7eaaa29018ea3753	k__Bacteria; p__Acidobacteria; c__TM1; o__; f__; g__; s__	1.0
7ece39013471a4129e70af59203ea6d7	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Planomicrobium; s__	0.7
2c1a72737ce74fb2256a839a6c30df9f	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__	1.0
8d73ae492e626f02150f5063d54e490e	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__BD7-3; f__; g__; s__	1.0
feb15c2fe276f4261c120e89c11efb38	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae	1.0
1c7e14f8b658c45d58ef6b29f5577c06	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__	0.7
9d419bf902e262c238aebd727ccfa159	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__	0.9
0fd001882ae7c8abd2381394ca98645e	k__Bacteria; p__TM7; c__SC3; o__; f__; g__; s__	0.8
315e74c255941cf4974cbf9937dab6dc	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__	0.8
cc671455761b5900f379e9a309966892	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__epidermidis	0.7
d6720f8012faaa9cd37258ee0746d6a4	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Ramlibacter; s__	0.8
52e03cd2ab201c0e89df2c56baa68fc7	k__Bacteria; p__Chloroflexi; c__TK10; o__B07_WMSP1	1.0
0b429ee20c271ab3f39820e779ce2bd0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales	1.0
e96078d37fd2c6e1a96350fb4d581aeb	k__Bacteria; p__Acidobacteria; c__; o__; f__; g__; s__	1.0
a8c0df365e52410a47d5589f70893489	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	1.0
80de32fa5650436c35209119b019fb51	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__[Roseiflexales]	1.0
035da93941befda45495599887837e68	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.9
ebe734e029970b8a83fd25cd31742745	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__OM27; g__; s__	1.0
d7f8254fca78fa35f3f89ac39f917d8d	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__	0.9
e9871b8c29e07508148c2a6c6931ea5c	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__; g__; s__	1.0
bdfefb610ea40ad0f9f28e036eaa5792	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__0319-6G20; g__; s__	1.0
bb1da2e15de90e29b640365277ec885d	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae	0.8
dadfb203189236f354e32f0d8ef37bcf	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__	1.0
cc9e609dc746a5d726f0999c5945ae1d	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__	1.0
fda251806c87ec5f948f34c9689c9c29	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	1.0
6eace5a504175e2488d23132b1e611ea	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__	1.0
71b5e0cff69c258f5f75268ba1d1f177	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__	1.0
c1544271077542421cbd9aff74ea36c6	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__; g__; s__	0.7
cc85497d93aec6075040deeb5b7db06d	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.7
18c09bfefd031697c68378e953b4e4b9	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga	0.8
c2bc72ab7eab9b197ac8395b08a378ff	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__; s__	0.8
0e1691cfb164b6d0588ae072aac14496	k__Bacteria; p__Acidobacteria; c__iii1-8; o__SJA-36; f__; g__; s__	1.0
3f132c86e103f8c1f407111e2ca0964a	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__	0.9
4735dc0c3366f187e6d29ecfef557c37	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter; s__	0.6
059e0d044b6c516bc52d725bdc4794a2	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__	0.7
ace56636e4aebb674725a23dc1647316	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Williamsiaceae; g__Williamsia; s__	0.7
0fd81f675e8c0554ec79806b297877de	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__[Chromatiaceae]; g__Rheinheimera; s__	0.8
b6c6862bb510c25adfa65133d1c6c37b	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__	1.0
37fc477fbded2076e576b18c8cd9188c	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__	1.0
12ed40dad7b1e0d8bccedd6acb85a6f7	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__	0.9
a7ebe5305b4b87ab3df9af0b30d86325	k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__	1.0
7c9151e276b0f256abfb35c795f38170	k__Bacteria; p__Acidobacteria; c__; o__; f__; g__; s__	1.0
3b54475eccf37e407afe6db2118cde37	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__	0.7
e991b224e11377d0b9b81c95bb9d8ea9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Caloramator; s__	1.0
bb4d0df9d8e7fc9364a40185741d148e	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__	0.7
332c12082b2419afa28d9fe3b7c32a1c	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__	1.0
8f9f7db8078506111641f442c1ba84e0	k__Bacteria; p__Acidobacteria; c__; o__; f__; g__; s__	1.0
42d4fc36c65ec540f9294bf06fc438a8	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__	1.0
7debcddafe830979dbce611a0d201cea	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__	0.6
f076c28f7e6e00086bfef7c12dbe990f	k__Bacteria; p__Planctomycetes; c__vadinHA49; o__DH61; f__; g__; s__	1.0
945d1187ee0251c5fe40f6dfaa38ed97	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__	1.0
6c095e52c63be0c7ab7ba7516f267e55	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	1.0
9a3c03ba6e76c97d7b5f9d009cbc49df	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__	0.6
25672cc06e988aa108c96c6ba9c30b0e	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__	0.7
9b112153d30724a3ea96c4af176d4aaf	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__	1.0
26e8e4288fd912f5cb0b58b743c61272	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhodobiaceae; g__Afifella; s__	1.0
44c8f5d5343c62c746d6afd10283b11f	k__Bacteria; p__Chloroflexi; c__TK10; o__AKYG885; f__5B-12; g__; s__	1.0
d98ad4a2902050d838b8b9c91adefae0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__	1.0
484c8ef7a00286259a45f8f369d3892b	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Actinomycetospora; s__	1.0
a9343143ac231f36129dadb2faf8c2b7	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__	0.7
566a90a3827d5853c05134fec31c3bc4	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__	1.0
ccd6ff5e5520d5c48867eaca372b0a30	k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__	1.0
082955c2379263660f230d231f25321c	k__Bacteria; p__Acidobacteria; c__TM1; o__; f__; g__; s__	1.0
30a9acb4400cf1c46cf75ed4379a5b00	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__	1.0
0859a49cae149f0ea8f51941399d43b5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__	0.7
ca8418fdd7d30dfa54396dde44977e5d	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae; g__Planifilum; s__	1.0
d12dc8b131ceb32eb861cb3a774c46e3	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__	1.0
e991fb18df30b795548b7da8479ef11e	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Adhaeribacter; s__	1.0
0303c4c302d4fb000498680317efb8c2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__	1.0
9868be533b5bf57b52c0bd8077a0cd78	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__	1.0
6dedfefe4474a4401272568f5273c932	k__Bacteria; p__Acidobacteria; c__iii1-8	1.0
b844310c345f6cd5187bd4b01e2d1d02	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__[Roseiflexales]; f__; g__; s__	0.8
6afde092e57927b353dfc9fac65f039f	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__	1.0
ebf12ca227b618af037f66835b09bb2a	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Ochrobactrum	0.8
a709985ce14ad1233df028239f32d9a7	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__	1.0
b79cb853e46055929a044d7d4d6dc708	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__	1.0
124f56971e2c99f711475bf7a1db2f60	k__Bacteria; p__Bacteroidetes; c__VC2_1_Bac22; o__; f__; g__; s__	0.6
4647d3d0adb58a390dce5ae26c4fce51	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__	0.7
dfb1089acab455dbafa6447b3f5245bb	k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__LD1-PB3; f__; g__; s__	0.7
3344ed6e5bb54950f68a48873b6211cf	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae; g__Planifilum; s__	0.8
b47f93a940107ecdac148bedb56eea85	k__Bacteria; p__Chloroflexi	0.8
25604d641d97e6bb025c35d3de30ad4f	k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__	1.0
7a972ff2b9fae125acb473da06258247	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__	0.7
