sample_id	type	location	group_id	paired_id	paired_type
bac.BS.1.1	bulk_soil	jk_experimental_station	1.1	1.1_environment	environment
bac.BS.1.10	bulk_soil	jk_experimental_station	1.10	1.10_environment	environment
bac.BS.1.12	bulk_soil	jk_experimental_station	1.12	1.12_environment	environment
bac.BS.1.13	bulk_soil	jk_experimental_station	1.13	1.13_environment	environment
bac.BS.1.15	bulk_soil	jk_experimental_station	1.15	1.15_environment	environment
bac.BS.1.16	bulk_soil	jk_experimental_station	1.16	1.16_environment	environment
bac.BS.1.18	bulk_soil	jk_experimental_station	1.18	1.18_environment	environment
bac.BS.1.19	bulk_soil	jk_experimental_station	1.19	1.19_environment	environment
bac.BS.1.21	bulk_soil	jk_experimental_station	1.21	1.21_environment	environment
bac.BS.1.22	bulk_soil	jk_experimental_station	1.22	1.22_environment	environment
bac.BS.1.24	bulk_soil	jk_experimental_station	1.24	1.24_environment	environment
bac.BS.1.3	bulk_soil	jk_experimental_station	1.3	1.3_environment	environment
bac.BS.1.4	bulk_soil	jk_experimental_station	1.4	1.4_environment	environment
bac.BS.1.6	bulk_soil	jk_experimental_station	1.6	1.6_environment	environment
bac.BS.1.7	bulk_soil	jk_experimental_station	1.7	1.7_environment	environment
bac.BS.1.9	bulk_soil	jk_experimental_station	1.9	1.9_environment	environment
bac.BS.2.1	bulk_soil	jk_experimental_station	2.1	2.1_environment	environment
bac.BS.2.10	bulk_soil	jk_experimental_station	2.10	2.10_environment	environment
bac.BS.2.12	bulk_soil	jk_experimental_station	2.12	2.12_environment	environment
bac.BS.2.13	bulk_soil	jk_experimental_station	2.13	2.13_environment	environment
bac.BS.2.15	bulk_soil	jk_experimental_station	2.15	2.15_environment	environment
bac.BS.2.16	bulk_soil	jk_experimental_station	2.16	2.16_environment	environment
bac.BS.2.18	bulk_soil	jk_experimental_station	2.18	2.18_environment	environment
bac.BS.2.19	bulk_soil	jk_experimental_station	2.19	2.19_environment	environment
bac.BS.2.21	bulk_soil	jk_experimental_station	2.21	2.21_environment	environment
bac.BS.2.22	bulk_soil	jk_experimental_station	2.22	2.22_environment	environment
bac.BS.2.24	bulk_soil	jk_experimental_station	2.24	2.24_environment	environment
bac.BS.2.3	bulk_soil	jk_experimental_station	2.3	2.3_environment	environment
bac.BS.2.4	bulk_soil	jk_experimental_station	2.4	2.4_environment	environment
bac.BS.2.6	bulk_soil	jk_experimental_station	2.6	2.6_environment	environment
bac.BS.2.7	bulk_soil	jk_experimental_station	2.7	2.7_environment	environment
bac.BS.2.9	bulk_soil	jk_experimental_station	2.9	2.9_environment	environment
bac.BS.3.1	bulk_soil	jk_experimental_station	3.1	3.1_environment	environment
