sample-id	location	paired_type
1.1_environment	jk_experimental_station	environment
1.10_environment	jk_experimental_station	environment
1.12_environment	jk_experimental_station	environment
1.13_environment	jk_experimental_station	environment
1.15_environment	jk_experimental_station	environment
1.16_environment	jk_experimental_station	environment
1.18_environment	jk_experimental_station	environment
1.19_environment	jk_experimental_station	environment
1.21_environment	jk_experimental_station	environment
1.22_environment	jk_experimental_station	environment
1.24_environment	jk_experimental_station	environment
1.3_environment	jk_experimental_station	environment
1.4_environment	jk_experimental_station	environment
1.6_environment	jk_experimental_station	environment
1.7_environment	jk_experimental_station	environment
1.9_environment	jk_experimental_station	environment
2.1_environment	jk_experimental_station	environment
2.10_environment	jk_experimental_station	environment
2.12_environment	jk_experimental_station	environment
2.13_environment	jk_experimental_station	environment
2.15_environment	jk_experimental_station	environment
2.16_environment	jk_experimental_station	environment
2.18_environment	jk_experimental_station	environment
2.19_environment	jk_experimental_station	environment
2.21_environment	jk_experimental_station	environment
2.22_environment	jk_experimental_station	environment
2.24_environment	jk_experimental_station	environment
2.3_environment	jk_experimental_station	environment
2.4_environment	jk_experimental_station	environment
2.6_environment	jk_experimental_station	environment
2.7_environment	jk_experimental_station	environment
2.9_environment	jk_experimental_station	environment
3.1_environment	jk_experimental_station	environment
3.10_environment	jk_experimental_station	environment
3.12_environment	jk_experimental_station	environment
3.13_environment	jk_experimental_station	environment
3.15_environment	jk_experimental_station	environment
3.16_environment	jk_experimental_station	environment
3.18_environment	jk_experimental_station	environment
3.19_environment	jk_experimental_station	environment
3.21_environment	jk_experimental_station	environment
3.22_environment	jk_experimental_station	environment
3.24_environment	jk_experimental_station	environment
3.3_environment	jk_experimental_station	environment
3.4_environment	jk_experimental_station	environment
3.6_environment	jk_experimental_station	environment
3.7_environment	jk_experimental_station	environment
3.9_environment	jk_experimental_station	environment
1.1_plant	jk_experimental_station	plant
1.10_plant	jk_experimental_station	plant
1.12_plant	jk_experimental_station	plant
1.13_plant	jk_experimental_station	plant
1.15_plant	jk_experimental_station	plant
1.16_plant	jk_experimental_station	plant
1.18_plant	jk_experimental_station	plant
1.19_plant	jk_experimental_station	plant
1.21_plant	jk_experimental_station	plant
1.22_plant	jk_experimental_station	plant
1.24_plant	jk_experimental_station	plant
1.3_plant	jk_experimental_station	plant
1.4_plant	jk_experimental_station	plant
1.6_plant	jk_experimental_station	plant
1.7_plant	jk_experimental_station	plant
1.9_plant	jk_experimental_station	plant
2.1_plant	jk_experimental_station	plant
2.10_plant	jk_experimental_station	plant
2.12_plant	jk_experimental_station	plant
2.13_plant	jk_experimental_station	plant
2.15_plant	jk_experimental_station	plant
2.16_plant	jk_experimental_station	plant
2.18_plant	jk_experimental_station	plant
2.19_plant	jk_experimental_station	plant
2.21_plant	jk_experimental_station	plant
2.22_plant	jk_experimental_station	plant
2.24_plant	jk_experimental_station	plant
2.3_plant	jk_experimental_station	plant
2.4_plant	jk_experimental_station	plant
2.6_plant	jk_experimental_station	plant
2.7_plant	jk_experimental_station	plant
2.9_plant	jk_experimental_station	plant
3.1_plant	jk_experimental_station	plant
3.10_plant	jk_experimental_station	plant
3.12_plant	jk_experimental_station	plant
3.13_plant	jk_experimental_station	plant
3.15_plant	jk_experimental_station	plant
3.16_plant	jk_experimental_station	plant
3.18_plant	jk_experimental_station	plant
3.19_plant	jk_experimental_station	plant
3.21_plant	jk_experimental_station	plant
3.22_plant	jk_experimental_station	plant
3.24_plant	jk_experimental_station	plant
3.3_plant	jk_experimental_station	plant
3.4_plant	jk_experimental_station	plant
3.6_plant	jk_experimental_station	plant
3.7_plant	jk_experimental_station	plant
3.9_plant	jk_experimental_station	plant
