sample_id	rhizosphere_compartment	endosphere_compartment	soil_compartment	location
1.1	bac.RH.1.1	bac.RT.1.1	bac.BS.1.1	jk_experimental_station
1.10	bac.RH.1.10	bac.RT.1.10	bac.BS.1.10	jk_experimental_station
1.12	bac.RH.1.12	bac.RT.1.12	bac.BS.1.12	jk_experimental_station
1.13	bac.RH.1.13	bac.RT.1.13	bac.BS.1.13	jk_experimental_station
1.15	bac.RH.1.15	bac.RT.1.15	bac.BS.1.15	jk_experimental_station
1.16	bac.RH.1.16	bac.RT.1.16	bac.BS.1.16	jk_experimental_station
1.18	bac.RH.1.18	bac.RT.1.18	bac.BS.1.18	jk_experimental_station
1.19	bac.RH.1.19	bac.RT.1.19	bac.BS.1.19	jk_experimental_station
1.21	bac.RH.1.21	bac.RT.1.21	bac.BS.1.21	jk_experimental_station
1.22	bac.RH.1.22	bac.RT.1.22	bac.BS.1.22	jk_experimental_station
1.24	bac.RH.1.24	bac.RT.1.24	bac.BS.1.24	jk_experimental_station
1.3	bac.RH.1.3	bac.RT.1.3	bac.BS.1.3	jk_experimental_station
1.4	bac.RH.1.4	bac.RT.1.4	bac.BS.1.4	jk_experimental_station
1.6	bac.RH.1.6	bac.RT.1.6	bac.BS.1.6	jk_experimental_station
1.7	bac.RH.1.7	bac.RT.1.7	bac.BS.1.7	jk_experimental_station
1.9	bac.RH.1.9	bac.RT.1.9	bac.BS.1.9	jk_experimental_station
2.1	bac.RH.2.1	bac.RT.2.1	bac.BS.2.1	jk_experimental_station
2.10	bac.RH.2.10	bac.RT.2.10	bac.BS.2.10	jk_experimental_station
2.12	bac.RH.2.12	bac.RT.2.12	bac.BS.2.12	jk_experimental_station
2.13	bac.RH.2.13	bac.RT.2.13	bac.BS.2.13	jk_experimental_station
2.15	bac.RH.2.15	bac.RT.2.15	bac.BS.2.15	jk_experimental_station
2.16	bac.RH.2.16	bac.RT.2.16	bac.BS.2.16	jk_experimental_station
2.18	bac.RH.2.18	bac.RT.2.18	bac.BS.2.18	jk_experimental_station
2.19	bac.RH.2.19	bac.RT.2.19	bac.BS.2.19	jk_experimental_station
2.21	bac.RH.2.21	bac.RT.2.21	bac.BS.2.21	jk_experimental_station
2.22	bac.RH.2.22	bac.RT.2.22	bac.BS.2.22	jk_experimental_station
2.24	bac.RH.2.24	bac.RT.2.24	bac.BS.2.24	jk_experimental_station
2.3	bac.RH.2.3	bac.RT.2.3	bac.BS.2.3	jk_experimental_station
2.4	bac.RH.2.4	bac.RT.2.4	bac.BS.2.4	jk_experimental_station
2.6	bac.RH.2.6	bac.RT.2.6	bac.BS.2.6	jk_experimental_station
2.7	bac.RH.2.7	bac.RT.2.7	bac.BS.2.7	jk_experimental_station
2.9	bac.RH.2.9	bac.RT.2.9	bac.BS.2.9	jk_experimental_station
3.1	bac.RH.3.1	bac.RT.3.1	bac.BS.3.1	jk_experimental_station
3.10	bac.RH.3.10	bac.RT.3.10	bac.BS.3.10	jk_experimental_station
3.12	bac.RH.3.12	bac.RT.3.12	bac.BS.3.12	jk_experimental_station
3.13	bac.RH.3.13	bac.RT.3.13	bac.BS.3.13	jk_experimental_station
3.15	bac.RH.3.15	bac.RT.3.15	bac.BS.3.15	jk_experimental_station
3.16	bac.RH.3.16	bac.RT.3.16	bac.BS.3.16	jk_experimental_station
3.18	bac.RH.3.18	bac.RT.3.18	bac.BS.3.18	jk_experimental_station
3.19	bac.RH.3.19	bac.RT.3.19	bac.BS.3.19	jk_experimental_station
3.21	bac.RH.3.21	bac.RT.3.21	bac.BS.3.21	jk_experimental_station
3.22	bac.RH.3.22	bac.RT.3.22	bac.BS.3.22	jk_experimental_station
3.24	bac.RH.3.24	bac.RT.3.24	bac.BS.3.24	jk_experimental_station
3.3	bac.RH.3.3	bac.RT.3.3	bac.BS.3.3	jk_experimental_station
3.4	bac.RH.3.4	bac.RT.3.4	bac.BS.3.4	jk_experimental_station
3.6	bac.RH.3.6	bac.RT.3.6	bac.BS.3.6	jk_experimental_station
3.7	bac.RH.3.7	bac.RT.3.7	bac.BS.3.7	jk_experimental_station
3.9	bac.RH.3.9	bac.RT.3.9	bac.BS.3.9	jk_experimental_station
