sample_id	input	filtered	denoised	non-chimeric	classified	no_chloroplast	2_frequency	bacteria
bac.BS.1.1	83655	6636	6636	6601	6586	6586	6586	6586
bac.BS.1.10	96983	8170	8170	8170	8139	8139	8139	8139
bac.BS.1.12	68765	5579	5579	5546	5536	5536	5536	5536
bac.BS.1.13	41612	9743	9743	9743	9735	9735	9735	9735
bac.BS.1.15	89461	18763	18763	18655	18646	18646	18646	18646
bac.BS.1.16	89820	22339	22339	22209	22189	22189	22189	22189
bac.BS.1.18	43935	11232	11232	11192	11190	11190	11190	11190
bac.BS.1.19	48367	11436	11436	11436	11431	11431	11431	11431
bac.BS.1.21	44219	9930	9930	9878	9873	9873	9873	9873
bac.BS.1.22	47248	11711	11711	11646	11637	11637	11637	11637
bac.BS.1.24	107303	26286	26286	26112	26094	26094	26094	26094
bac.BS.1.3	63975	5378	5378	5378	5378	5378	5378	5378
bac.BS.1.4	54230	4086	4086	4060	4057	4057	4057	4057
bac.BS.1.6	59626	4926	4926	4926	4916	4916	4916	4916
bac.BS.1.7	52899	4632	4632	4632	4632	4632	4632	4632
bac.BS.1.9	86247	7293	7293	7209	7188	7188	7188	7188
bac.BS.2.1	66741	5270	5270	5270	5267	5267	5267	5267
bac.BS.2.10	61562	4983	4983	4976	4965	4965	4965	4965
bac.BS.2.12	91840	7554	7554	7520	7506	7506	7506	7506
bac.BS.2.13	30808	7670	7670	7670	7670	7670	7670	7670
bac.BS.2.15	88334	19809	19809	19723	19703	19703	19703	19703
bac.BS.2.16	62375	15147	15147	15011	15009	15009	15009	15009
bac.BS.2.18	38701	9435	9435	9421	9411	9411	9411	9411
bac.BS.2.19	34851	7759	7759	7759	7743	7743	7743	7743
bac.BS.2.21	47263	12292	12292	12215	12215	12215	12215	12215
bac.BS.2.22	56600	13855	13855	13402	13391	13391	13391	13388
bac.BS.2.24	64127	15481	15481	15384	15384	15384	15384	15384
bac.BS.2.3	59512	5548	5548	5548	5542	5542	5542	5542
bac.BS.2.4	55796	4874	4874	4874	4874	4874	4874	4874
bac.BS.2.6	48382	4311	4311	4311	4311	4311	4311	4311
bac.BS.2.7	33978	2794	2794	2794	2794	2794	2794	2794
bac.BS.2.9	58953	4943	4943	4900	4888	4888	4888	4888
bac.BS.3.1	95503	8043	8043	8043	8038	8038	8038	8038
bac.BS.3.10	33756	3038	3038	3038	3028	3028	3028	3028
bac.BS.3.12	56072	4783	4783	4783	4781	4781	4781	4781
bac.BS.3.13	1715	313	313	313	313	313	313	313
bac.BS.3.15	1405	256	256	256	256	256	256	256
bac.BS.3.16	4312	811	811	811	811	811	811	811
bac.BS.3.18	5781	1256	1256	1256	1256	1256	1256	1256
bac.BS.3.19	7218	1398	1398	1398	1398	1398	1398	1398
bac.BS.3.21	5905	1321	1321	1321	1321	1321	1321	1321
bac.BS.3.22	14404	2898	2898	2898	2898	2898	2898	2898
bac.BS.3.24	6158	1321	1321	1321	1321	1321	1321	1321
bac.BS.3.3	54065	4515	4515	4515	4495	4495	4495	4495
bac.BS.3.4	29452	1991	1991	1991	1991	1991	1991	1991
bac.BS.3.6	46356	4449	4449	4449	4445	4445	4445	4445
bac.BS.3.7	39462	3280	3280	3280	3280	3280	3280	3280
bac.BS.3.9	40213	3128	3128	3128	3123	3123	3123	3123
bac.RH.1.1	99108	7624	7624	7600	7597	7597	7597	7597
bac.RH.1.10	47990	3803	3803	3779	3748	3748	3748	3748
bac.RH.1.12	66590	5094	5094	5094	5083	5083	5083	5083
bac.RH.1.13	107974	27254	27254	27058	26998	26998	26998	26998
bac.RH.1.15	76129	20755	20755	20560	20560	20560	20560	20560
bac.RH.1.16	95877	26594	26594	26398	26373	26373	26373	26373
bac.RH.1.18	50937	11646	11646	11646	11619	11619	11619	11619
bac.RH.1.19	38185	10076	10076	10076	10002	10002	10002	10002
bac.RH.1.21	52908	12279	12279	12243	12221	12221	12221	12221
bac.RH.1.22	91230	24002	24002	23887	23825	23825	23825	23825
bac.RH.1.24	67532	17567	17567	17556	17471	17471	17471	17471
bac.RH.1.3	89791	9402	9402	9363	9363	9363	9363	9363
bac.RH.1.4	85343	9943	9943	9943	9922	9922	9922	9922
bac.RH.1.6	57399	5584	5584	5584	5584	5584	5584	5584
bac.RH.1.7	57816	6613	6613	6578	6571	6571	6571	6571
bac.RH.1.9	48166	7092	7092	7040	7029	7029	7029	7029
bac.RH.2.1	90482	8409	8409	8379	8361	8361	8361	8361
bac.RH.2.10	85925	8871	8871	8796	8749	8749	8749	8749
bac.RH.2.12	97477	12075	12075	12023	11997	11997	11997	11997
bac.RH.2.13	56780	14671	14671	14630	14572	14572	14572	14572
bac.RH.2.15	90423	21323	21323	21117	21117	21117	21117	21117
bac.RH.2.16	55413	15125	15125	15096	15084	15084	15084	15084
