"sample_id"	"chloroplast_reads"	"mitochondria_reads"	"bacteria_reads"	"tissue"	"bacteria"	"type"	"treatment"	"time"	"plate"	"library"	"notes"	"duckweed_chloroplast_reads"	"chloroplast_mitochondria_ratio"	"bacteria_chloroplast_ratio"	"bacteria_mitochondria_ratio"
"T0_432_B_3_2"	104667	40224	6580	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"none"	"0"	"ducitaplate1"	NA	"tissue; Duckweed 432-9509; 0 days"	104667	2.60210322195704	0.0628660418278923	0.163583929992045
"T10_432_DAM_B_A_2"	20199	10492	115190	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 10 days"	19012	1.81204727411361	6.05880496528508	10.9788410217308
"T10_432_DAM_B_B_2"	18758	15131	160694	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 10 days"	16103	1.06423897957835	9.97913432279699	10.6201837287688
"T10_432_DAM_B_C_2"	12681	31638	181135	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 10 days"	12407	0.392155003476832	14.5994196824373	5.72523547632594
"T10_432_DAM_B_D_2"	20284	19825	136249	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 10 days"	18230	0.919546027742749	7.47388919363686	6.87258511979823
"T10_432_DAM_B_E_2"	26451	22021	166030	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 10 days"	25644	1.16452477180873	6.47441896739978	7.53962127060533
"T10_432_DAM_B_F_2"	16720	44070	147514	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 10 days"	15746	0.357295212162469	9.36834751682967	3.3472657136374
"T10_432_DAM_B_G_2"	5421	12555	135897	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 10 days"	5260	0.418956590999602	25.8359315589354	10.8241338112306
"T10_432_DAM_B_H_2"	9045	7317	161737	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 10 days"	8887	1.21456881235479	18.1992798469675	22.1042777094438
"T10_432_DAM_B_I_2"	3774	3312	175857	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 10 days"	3742	1.1298309178744	46.9954569748797	53.0969202898551
"T10_432_DAM_B_K_2"	13651	13656	169316	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 10 days"	12998	0.951816051552431	13.0263117402677	12.3986526069127
"T10_432_DAM_B_L_2"	11309	25691	187330	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 10 days"	11273	0.43879179479195	16.6175818326976	7.29165855747149
"T10_432_DAM_BJ_2"	5799	11390	194661	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 10 days"	4908	0.430904302019315	39.6619804400978	17.0905179982441
"T10_432_DAM370_1_B_A_2"	11620	11123	166562	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days"	11550	1.03838892385148	14.4209523809524	14.9745572237706
"T10_432_DAM370_1_B_B_2"	35873	16240	136130	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days"	35784	2.20344827586207	3.80421417393248	8.38238916256158
"T10_432_DAM370_1_B_C_2"	11302	76105	133263	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days"	9877	0.129781223309901	13.4922547332186	1.75104132448591
"T10_432_DAM370_1_B_D_2"	41284	21122	151915	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days"	37554	1.77795663289461	4.04524151887948	7.19226399015245
"T10_432_DAM370_1_B_E_2"	26121	19011	178153	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days"	21026	1.10599126821314	8.47298582707124	9.37104834043449
"T10_432_DAM370_1_B_F_2"	15214	14613	201594	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days"	13849	0.947717785533429	14.5565744819121	13.7955245329501
"T10_432_DAM370_1_B_G_2"	10586	7733	208473	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days"	10323	1.33492822966507	20.195001453066	26.9588775378249
"T10_432_DAM370_1_B_H_2"	38749	23503	148646	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days"	37817	1.60902863464239	3.93066610254647	6.32455431221546
"T10_432_DAM370_1_B_I_2"	7847	21813	189682	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days"	7097	0.325356438820887	26.7270677751162	8.6958235914363
"T10_432_DAM370_1_B_J_2"	8919	38896	183067	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days"	8081	0.207759152612094	22.6540032174236	4.70657651172357
"T10_432_DAM370_1_B_K_2"	12149	17697	178105	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days"	11277	0.637226648584506	15.7936507936508	10.0641351641521
"T10_432_DAM370_1_B_L_2"	8128	7552	202598	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"10"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days"	7812	1.03442796610169	25.9342037890425	26.8270656779661
"T5_432_DAM_B_H_2"	15537	18815	158984	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"5"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 05 days"	15529	0.825352112676056	10.2378775194797	8.44985384002126
"T5_432_DAM_B_I_2"	9393	6790	207662	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"5"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 05 days"	9255	1.36303387334315	22.4378173960022	30.5835051546392
"T5_432_DAM_B_J_2"	5989	58244	151406	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"5"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 05 days"	5959	0.102310967653321	25.4079543547575	2.59951239612664
"T5_432_DAM_B_L_2"	13472	24080	182205	"S_polyrhiza432_9509"	"none"	"treated_tissue"	"SD_treated"	"5"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509; 05 days"	13214	0.54875415282392	13.7887846223702	7.56665282392027
"T5_432_DAM370_1_B_H_2"	8414	7838	217499	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"5"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 05 days"	8407	1.07259504975759	25.8711787795884	27.7492982903802
"T5_432_DAM370_1_B_I_2"	3286	34898	166164	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"5"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 05 days"	2939	0.0842168605650754	56.5375978223886	4.76141899249241
"T5_432_DAM370_1_B_J_2"	7065	36259	130744	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"5"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 05 days"	7027	0.193800159960286	18.6059484844172	3.6058357924929
"T5_432_DAM370_1_B_K_2"	6248	15202	206921	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"5"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 05 days"	6044	0.397579265886068	34.2357710125745	13.6114327062229
"T5_432_DAM370_1_B_K_2a"	6290	39554	182515	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"5"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 05 days"	6265	0.158391060322597	29.1324820430966	4.61432472063508
"T5_432_DAM370_1_B_L_2"	7244	18980	127143	"S_polyrhiza432_9509"	"MicrobacteriumRU1A"	"treated_tissue"	"SD_treated"	"5"	"ducitaplate1"	NA	"tissue; wastewater + Duckweed 432-9509 + DAM370-1; 05 days"	7193	0.378977871443625	17.6759349367441	6.69878819810327
